icao24,callsign,origin_country,longitude,latitude,velocity,baro_altitude,geo_altitude,vertical_rate,hour,delay_seconds
a4845b,N390SB  ,United States,-103.8595,37.4987,229.69,11285.22,11727.18,-0.33,14,0
a35d8d,N316EP  ,United States,-118.1431,33.702,49.14,1021.08,1043.94,0.65,14,0
a77acf,,United States,-80.617,27.2824,62.96,838.2,899.16,0.0,14,0
a2dadf,YEL83   ,United States,-84.4236,33.6523,0.0,,,,14,2
a301e9,BPX293  ,United States,-81.0771,29.2825,56.14,548.64,601.98,-0.65,14,0
a24493,SWA278  ,United States,-98.9093,30.3524,217.41,8077.2,8481.06,11.38,14,0
ad50a9,SWA1787 ,United States,-107.539,34.6837,227.9,11582.4,12092.94,0.0,14,1
aaf0c3,ASA1354 ,United States,-115.0529,32.3318,222.22,11582.4,12108.18,-0.33,14,0
a6b1c3,N530PS  ,United States,-104.8,40.1587,40.38,1638.3,1676.4,3.9,14,0
a9d700,N733JH  ,United States,-118.2507,34.136,48.78,1333.5,1348.74,-0.65,14,0
aa9b42,SWA2203 ,United States,-120.2434,35.8461,209.24,10668.0,11026.14,0.0,14,0
a9d718,N733KG  ,United States,-74.2688,40.891,35.29,213.36,152.4,-2.6,14,0
ac43f9,N89LD   ,United States,-84.7993,34.9945,128.24,1783.08,1836.42,-1.63,14,0
a6aac2,JIA5460 ,United States,-84.5186,42.7775,56.59,533.4,563.88,-3.25,14,0
ab6c98,N835TB  ,United States,-87.3336,42.574,132.79,3329.94,3246.12,-10.4,14,0
a661df,N510EM  ,United States,-102.6442,33.2134,173.19,7330.44,7688.58,-4.88,14,1
a4c170,RPA4699 ,United States,-80.1232,40.4866,57.64,784.86,723.9,-3.58,14,0
ac9362,N9093F  ,United States,-70.9708,42.6045,51.18,426.72,281.94,-2.93,14,1
ab6c94,SCX384  ,United States,-92.6867,42.5827,195.59,9753.6,9860.28,0.0,14,0
ac43dd,N89KA   ,United States,-122.2239,47.6818,34.5,213.36,167.64,-1.95,14,1
